         83757 function calls (80757 primitive calls) in 0.412 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      447    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
        4    0.000    0.000    0.000    0.000 numeric.py:3083(extend_all)
       58    0.000    0.000    0.000    0.000 typing.py:162(_collect_type_vars)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
       57    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.000    0.000 tempfile.py:292(__next__)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:618(__getitem__)
       26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       15    0.000    0.000    0.000    0.000 arrayprint.py:1499(_array_str_implementation)
       76    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        4    0.000    0.000    0.000    0.000 enum.py:872(_decompose)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:22(<module>)
      122    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
       10    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
      189    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      267    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      179    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        8    0.000    0.000    0.000    0.000 core.py:8007(__init__)
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:110(LockBase)
        1    0.000    0.000    0.000    0.000 core.py:6265(__new__)
      122    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
       34    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
        8    0.000    0.000    0.000    0.000 enum.py:125(__prepare__)
      317    0.000    0.000    0.000    0.000 overrides.py:146(decorator)
      201    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       23    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
